student_id,event_timestamp,cgpa,dsa_score,system_design_score,dbms_score,oop_proficiency,cloud_devops_score,web_dev_score,problem_solving_score,aptitude_score,communication_score,teamwork_score,github_projects_count,internship_duration_months,certifications_count,hackathons_participated,mock_interview_score,curriculum_updated_year,domain_code,technical_skill_mean,soft_skill_mean,industry_exposure_score,practical_experience_score,curriculum_age_years
CSE_0017,2026-01-01 00:00:00+00:00,6.52,81,11,3,22,22,38,75.08,73,92.0,0,12,4,3,0,71,2023,2,29.5,55.69333333333333,46.0,39.666666666666664,3
CSE_0018,2026-01-01 00:00:00+00:00,7.62,88,16,54,68,10,53,53.48,78,68.0,89,0,7,3,8,13,2021,3,48.166666666666664,70.16,49.5,50.41666666666667,5
CSE_0019,2026-01-01 00:00:00+00:00,7.16,11,15,70,94,63,87,65.88,93,62.0,57,6,8,1,1,30,2018,2,56.666666666666664,61.626666666666665,38.5,41.08333333333333,8
CSE_0020,2026-01-01 00:00:00+00:00,6.46,14,11,91,52,7,74,71.48,16,64.0,88,7,6,3,2,65,2022,4,41.5,74.49333333333334,46.0,41.33333333333333,4
CSE_0021,2026-01-01 00:00:00+00:00,8.06,58,7,27,61,92,28,34.56,67,98.0,15,2,8,1,7,67,2018,3,45.5,49.18666666666667,45.5,54.25,8
CSE_0022,2026-01-01 00:00:00+00:00,5.7,25,83,3,40,93,53,55.4,70,82.0,78,2,10,0,8,64,2018,1,49.5,71.8,49.0,63.833333333333336,8
CSE_0023,2026-01-01 00:00:00+00:00,6.46,25,2,21,56,55,89,38.8,61,28.0,89,6,2,1,2,54,2021,4,41.333333333333336,51.93333333333334,26.0,27.333333333333332,5
CSE_0024,2026-01-01 00:00:00+00:00,6.83,46,15,75,59,59,15,83.84,40,82.0,46,3,12,4,5,83,2023,0,44.833333333333336,70.61333333333333,64.5,60.75,3
CSE_0025,2026-01-01 00:00:00+00:00,7.28,31,29,44,53,9,98,53.36,94,34.0,43,2,4,4,6,77,2020,0,44.0,43.45333333333334,45.0,38.83333333333333,6
CSE_0026,2026-01-01 00:00:00+00:00,8.93,9,22,66,69,38,19,88.56,33,56.0,79,14,9,2,0,39,2024,2,37.166666666666664,74.52,58.5,58.916666666666664,2
CSE_0027,2026-01-01 00:00:00+00:00,6.0,15,91,85,100,27,45,59.68,69,36.0,13,7,7,3,6,24,2020,2,60.5,36.22666666666667,58.5,59.25,6
CSE_0028,2026-01-01 00:00:00+00:00,7.57,70,4,65,56,48,66,86.0,44,76.0,92,2,11,5,3,24,2020,1,51.5,84.66666666666667,59.0,47.99999999999999,6
CSE_0029,2026-01-01 00:00:00+00:00,7.96,16,83,87,9,35,64,36.28,57,90.0,23,12,0,3,4,2,2018,1,49.0,49.76,46.0,43.0,8
CSE_0030,2026-01-01 00:00:00+00:00,5.23,22,64,33,39,12,57,79.4,50,44.0,54,13,7,1,7,68,2021,0,37.833333333333336,59.13333333333333,65.0,77.0,5
CSE_0031,2026-01-01 00:00:00+00:00,8.04,25,29,90,6,95,52,64.52,33,26.0,14,6,6,5,3,25,2024,3,49.5,34.839999999999996,54.5,42.75,2
CSE_0032,2026-01-01 00:00:00+00:00,5.85,84,20,54,37,35,0,72.16,43,44.0,82,1,0,5,3,39,2020,0,38.333333333333336,66.05333333333333,29.5,13.583333333333334,6
CSE_0033,2026-01-01 00:00:00+00:00,5.33,85,83,0,84,100,80,50.04,14,74.0,71,10,12,3,7,37,2019,0,72.0,65.01333333333334,79.5,84.58333333333333,7
CSE_0034,2026-01-01 00:00:00+00:00,9.74,6,69,71,60,25,65,81.16,77,46.0,33,10,12,5,4,37,2019,1,49.333333333333336,53.38666666666666,80.0,73.33333333333333,7
CSE_0035,2026-01-01 00:00:00+00:00,9.83,13,21,86,83,85,28,55.56,69,42.0,1,0,9,5,5,67,2019,2,52.666666666666664,32.85333333333333,55.0,45.0,7
CSE_0036,2026-01-01 00:00:00+00:00,9.04,78,81,37,2,3,83,73.56,49,34.0,26,11,11,4,4,6,2022,1,47.333333333333336,44.52,75.5,72.75,4
CSE_0037,2026-01-01 00:00:00+00:00,6.52,6,71,5,50,94,69,45.04,100,60.0,73,5,9,0,0,93,2021,1,49.166666666666664,59.346666666666664,32.5,37.916666666666664,5
CSE_0038,2026-01-01 00:00:00+00:00,5.49,8,31,85,85,81,7,56.28,31,42.0,98,7,11,1,6,29,2018,1,49.5,65.42666666666666,60.5,70.91666666666666,8
CSE_0039,2026-01-01 00:00:00+00:00,8.42,47,32,24,46,63,28,58.32,66,78.0,86,0,5,3,5,18,2018,0,40.0,74.10666666666667,37.0,33.333333333333336,8
CSE_0040,2026-01-01 00:00:00+00:00,7.2,71,15,81,67,37,50,32.04,2,26.0,71,12,0,4,1,34,2021,3,53.5,43.01333333333333,42.5,31.75,5
CSE_0041,2026-01-01 00:00:00+00:00,5.61,58,75,16,91,87,32,73.32,85,74.0,91,9,1,2,6,32,2023,0,59.833333333333336,79.44,43.5,46.41666666666667,3
CSE_0042,2026-01-01 00:00:00+00:00,7.48,86,37,60,75,86,2,49.32,85,40.0,22,11,4,5,5,32,2024,4,57.666666666666664,37.10666666666666,64.5,56.08333333333333,2
CSE_0043,2026-01-01 00:00:00+00:00,5.17,92,97,11,37,21,59,36.96,73,60.0,67,8,1,5,4,77,2023,1,52.833333333333336,54.653333333333336,48.5,36.583333333333336,3
CSE_0044,2026-01-01 00:00:00+00:00,9.55,81,13,5,35,1,34,76.16,50,42.0,13,14,9,3,7,37,2022,1,28.166666666666668,43.72,80.0,85.16666666666666,4
CSE_0045,2026-01-01 00:00:00+00:00,6.29,94,35,89,40,30,68,51.36,66,78.0,62,2,0,0,4,9,2021,4,59.333333333333336,63.78666666666667,14.0,19.666666666666668,5
CSE_0046,2026-01-01 00:00:00+00:00,8.31,93,96,26,68,10,90,58.04,75,96.0,92,2,5,0,1,56,2023,1,63.833333333333336,82.01333333333334,19.0,23.0,3
CSE_0047,2026-01-01 00:00:00+00:00,6.56,38,22,7,12,91,75,78.92,92,94.0,64,3,7,3,5,27,2024,1,40.833333333333336,78.97333333333334,48.0,46.16666666666667,2
CSE_0048,2026-01-01 00:00:00+00:00,7.6,98,65,82,86,45,83,63.96,47,66.0,67,10,7,3,0,77,2022,1,76.5,65.65333333333334,49.5,43.75,4
CSE_0049,2026-01-01 00:00:00+00:00,7.73,17,84,64,57,95,19,66.88,16,58.0,62,14,12,4,4,99,2020,4,56.0,62.29333333333333,84.0,82.66666666666666,6
CSE_0050,2026-01-01 00:00:00+00:00,5.92,58,1,56,49,61,72,86.52,6,86.0,95,0,12,3,5,37,2020,0,49.5,89.17333333333333,54.5,53.75,6
CSE_0051,2026-01-01 00:00:00+00:00,9.85,16,90,92,29,68,38,37.12,12,74.0,96,8,7,2,6,15,2022,1,55.5,69.04,56.5,61.583333333333336,4
CSE_0052,2026-01-01 00:00:00+00:00,8.88,13,72,98,61,63,3,49.48,65,34.0,89,10,10,4,1,20,2021,3,51.666666666666664,57.49333333333333,63.5,56.25,5
CSE_0053,2026-01-01 00:00:00+00:00,9.7,30,64,39,100,9,18,62.0,3,86.0,80,2,5,5,0,91,2020,4,43.333333333333336,76.0,36.5,19.25,6
CSE_0054,2026-01-01 00:00:00+00:00,9.47,23,74,13,24,39,90,52.0,9,54.0,86,12,10,5,5,96,2021,2,43.833333333333336,64.0,81.5,75.91666666666667,5
CSE_0055,2026-01-01 00:00:00+00:00,7.99,98,66,34,26,23,44,75.24,87,36.0,63,9,2,5,2,5,2023,4,48.5,58.080000000000005,48.0,34.33333333333333,3
CSE_0056,2026-01-01 00:00:00+00:00,9.61,59,51,47,50,98,42,80.84,16,42.0,31,15,0,5,4,40,2020,0,57.833333333333336,51.28,60.0,50.0,6
CSE_0057,2026-01-01 00:00:00+00:00,5.44,44,61,83,77,43,12,40.4,51,42.0,78,3,1,1,1,14,2024,4,53.333333333333336,53.46666666666667,15.0,13.666666666666666,2
CSE_0058,2026-01-01 00:00:00+00:00,5.98,97,22,55,56,59,12,68.04,5,62.0,12,0,4,2,0,2,2024,2,50.166666666666664,47.34666666666667,18.0,11.666666666666666,2
CSE_0059,2026-01-01 00:00:00+00:00,5.23,2,25,48,46,61,59,33.76,82,38.0,65,3,12,4,0,42,2023,3,40.166666666666664,45.586666666666666,52.0,42.0,3
CSE_0060,2026-01-01 00:00:00+00:00,6.63,36,67,12,99,86,56,76.8,68,30.0,18,12,9,4,3,46,2024,2,59.333333333333336,41.6,70.0,65.5,2
CSE_0061,2026-01-01 00:00:00+00:00,6.94,42,81,60,38,16,85,84.08,95,30.0,23,0,4,5,1,98,2021,4,53.666666666666664,45.69333333333333,32.5,15.416666666666666,5
CSE_0062,2026-01-01 00:00:00+00:00,6.36,39,54,48,15,64,91,53.36,73,66.0,87,4,9,0,0,13,2021,2,51.833333333333336,68.78666666666668,30.5,35.583333333333336,5
CSE_0063,2026-01-01 00:00:00+00:00,9.14,89,5,45,21,94,51,89.32,8,78.0,10,4,0,4,5,65,2024,4,50.833333333333336,59.10666666666666,36.5,28.083333333333336,2
CSE_0064,2026-01-01 00:00:00+00:00,6.78,54,34,61,84,94,52,50.4,90,46.0,58,13,0,2,3,28,2019,3,63.166666666666664,51.46666666666667,41.5,41.583333333333336,7
CSE_0065,2026-01-01 00:00:00+00:00,6.4,86,21,7,53,56,85,47.6,76,22.0,85,10,8,3,6,3,2022,3,51.333333333333336,51.53333333333333,67.0,69.16666666666666,4
CSE_0066,2026-01-01 00:00:00+00:00,7.71,38,42,42,20,54,42,74.68,82,30.0,14,6,1,2,5,25,2018,0,39.666666666666664,39.56,35.0,35.66666666666667,8
CSE_0067,2026-01-01 00:00:00+00:00,5.7,14,14,19,71,52,82,33.04,20,94.0,9,13,6,5,4,11,2022,3,42.0,45.346666666666664,71.0,62.833333333333336,4
CSE_0068,2026-01-01 00:00:00+00:00,9.01,3,85,96,15,55,71,63.72,23,60.0,40,7,9,5,1,1,2024,1,54.166666666666664,54.57333333333333,59.0,46.33333333333333,2
CSE_0069,2026-01-01 00:00:00+00:00,5.37,92,59,89,58,97,71,76.8,3,56.0,26,3,3,1,4,16,2021,2,77.66666666666667,52.93333333333334,27.5,30.75,5
CSE_0070,2026-01-01 00:00:00+00:00,9.93,85,100,38,30,8,41,70.96,23,24.0,59,6,6,4,8,34,2021,2,50.333333333333336,51.31999999999999,63.0,61.5,5
CSE_0071,2026-01-01 00:00:00+00:00,8.86,24,11,84,41,21,89,53.88,58,78.0,72,3,7,4,8,9,2022,4,45.0,67.96,59.5,57.41666666666667,4
CSE_0072,2026-01-01 00:00:00+00:00,5.99,12,48,48,73,12,25,56.8,98,62.0,51,2,4,4,1,85,2021,3,36.333333333333336,56.6,32.5,20.083333333333332,5
CSE_0073,2026-01-01 00:00:00+00:00,5.03,81,41,63,31,88,22,54.64,2,36.0,27,14,12,5,6,42,2023,0,54.333333333333336,39.21333333333333,93.0,90.16666666666666,3
CSE_0074,2026-01-01 00:00:00+00:00,9.08,32,37,61,58,47,42,60.12,67,28.0,64,5,11,4,3,20,2020,0,46.166666666666664,50.70666666666667,61.0,54.99999999999999,6
CSE_0075,2026-01-01 00:00:00+00:00,8.53,15,81,53,33,17,76,81.68,100,50.0,16,3,11,0,2,14,2021,0,45.833333333333336,49.22666666666667,38.5,46.58333333333333,5
CSE_0076,2026-01-01 00:00:00+00:00,8.65,41,44,8,8,75,27,39.36,39,86.0,94,13,0,0,0,34,2024,1,33.833333333333336,73.12,26.0,30.333333333333336,2
CSE_0077,2026-01-01 00:00:00+00:00,8.86,65,34,87,80,39,8,75.68,47,90.0,43,2,3,3,2,84,2024,3,52.166666666666664,69.56,28.5,20.916666666666668,2
CSE_0078,2026-01-01 00:00:00+00:00,5.37,54,29,36,10,16,19,78.12,53,68.0,9,14,9,4,8,84,2022,0,27.333333333333332,51.70666666666667,86.5,88.91666666666666,4
CSE_0079,2026-01-01 00:00:00+00:00,6.79,98,87,48,95,14,55,95.6,34,78.0,62,14,2,1,8,84,2022,1,66.16666666666667,78.53333333333333,57.0,68.5,4
CSE_0080,2026-01-01 00:00:00+00:00,5.58,41,29,40,9,14,82,65.88,94,30.0,100,8,9,3,6,59,2022,2,35.833333333333336,65.29333333333334,65.5,67.41666666666667,4
CSE_0081,2026-01-01 00:00:00+00:00,9.32,33,77,16,85,78,38,55.92,55,68.0,92,4,11,5,2,43,2024,4,54.5,71.97333333333334,60.5,48.916666666666664,2
CSE_0082,2026-01-01 00:00:00+00:00,8.12,29,5,87,16,62,50,64.2,88,74.0,81,12,4,4,2,95,2019,3,41.5,73.06666666666666,55.0,47.166666666666664,7
CSE_0083,2026-01-01 00:00:00+00:00,6.65,12,66,20,67,38,11,86.28,39,36.0,46,13,9,0,3,4,2024,3,35.666666666666664,56.093333333333334,56.0,67.83333333333334,2
CSE_0084,2026-01-01 00:00:00+00:00,5.32,12,79,50,47,12,78,79.08,76,90.0,37,6,12,1,6,72,2023,2,46.333333333333336,68.69333333333333,61.0,71.5,3
CSE_0085,2026-01-01 00:00:00+00:00,6.55,17,6,58,51,80,94,94.8,67,36.0,69,11,9,3,6,17,2024,3,51.0,66.60000000000001,71.5,74.41666666666666,2
CSE_0086,2026-01-01 00:00:00+00:00,6.63,31,51,38,24,31,54,35.12,45,46.0,75,13,12,1,1,20,2023,3,38.166666666666664,52.04,62.5,69.08333333333334,3
CSE_0087,2026-01-01 00:00:00+00:00,8.65,95,13,54,20,8,77,55.12,77,70.0,52,5,5,4,4,71,2024,3,44.5,59.04,48.5,41.25,2
CSE_0088,2026-01-01 00:00:00+00:00,8.19,98,72,40,100,39,10,48.48,12,72.0,77,9,1,2,6,97,2024,3,59.833333333333336,65.82666666666667,43.5,46.41666666666667,2
CSE_0089,2026-01-01 00:00:00+00:00,9.44,38,14,38,64,19,25,53.8,26,76.0,43,15,6,1,6,73,2019,1,33.0,57.6,64.0,75.0,7
CSE_0090,2026-01-01 00:00:00+00:00,7.36,45,20,12,62,89,41,38.72,5,28.0,73,14,12,1,5,50,2023,1,44.833333333333336,46.57333333333333,74.5,86.41666666666666,3
CSE_0091,2026-01-01 00:00:00+00:00,5.6,28,34,63,88,90,26,59.2,16,88.0,53,4,2,5,7,40,2019,4,54.833333333333336,66.73333333333333,50.5,41.41666666666667,7
CSE_0092,2026-01-01 00:00:00+00:00,8.57,61,65,10,50,84,10,55.28,35,62.0,19,6,0,0,2,23,2023,3,46.666666666666664,45.42666666666667,17.0,21.5,3
CSE_0093,2026-01-01 00:00:00+00:00,8.8,92,90,18,35,81,37,52.56,98,58.0,78,10,9,4,0,23,2019,2,58.833333333333336,62.85333333333333,58.5,49.58333333333333,7
CSE_0094,2026-01-01 00:00:00+00:00,7.81,61,1,10,80,76,97,85.48,80,98.0,30,5,2,1,2,95,2019,0,54.166666666666664,71.16000000000001,24.0,25.0,7
CSE_0095,2026-01-01 00:00:00+00:00,8.85,56,34,76,87,79,42,33.24,1,80.0,6,9,8,4,1,96,2023,4,62.333333333333336,39.74666666666667,56.5,48.08333333333333,3
CSE_0096,2026-01-01 00:00:00+00:00,7.47,15,81,45,65,72,18,43.44,76,30.0,57,1,9,0,1,37,2019,0,49.333333333333336,43.48,27.0,32.33333333333333,7
CSE_0097,2026-01-01 00:00:00+00:00,7.61,55,77,44,14,62,63,55.72,51,80.0,9,12,10,5,1,43,2024,0,52.5,48.24,71.5,60.91666666666667,2
CSE_0098,2026-01-01 00:00:00+00:00,7.14,9,19,0,95,75,5,74.64,65,28.0,9,12,10,4,4,56,2023,3,33.833333333333336,37.21333333333333,75.0,72.16666666666667,3
CSE_0099,2026-01-01 00:00:00+00:00,5.13,29,81,39,38,43,45,56.64,51,22.0,38,12,5,0,0,58,2019,2,45.833333333333336,38.88,36.5,42.583333333333336,7
CSE_0100,2026-01-01 00:00:00+00:00,5.54,24,9,18,69,37,41,72.96,91,52.0,27,2,10,0,3,33,2024,0,33.0,50.65333333333333,36.5,45.083333333333336,2
CSE_0101,2026-01-01 00:00:00+00:00,5.16,83,24,75,0,82,91,95.84,42,100.0,29,1,5,3,4,74,2024,0,59.166666666666664,74.94666666666667,36.5,31.916666666666668,2
CSE_0102,2026-01-01 00:00:00+00:00,8.18,4,65,71,22,59,64,42.76,89,34.0,36,11,3,5,1,94,2022,4,47.5,37.586666666666666,52.0,38.166666666666664,4
CSE_0103,2026-01-01 00:00:00+00:00,6.57,64,24,71,38,70,98,80.12,21,74.0,66,2,7,5,4,81,2018,2,60.833333333333336,73.37333333333333,51.5,40.083333333333336,8
CSE_0104,2026-01-01 00:00:00+00:00,7.54,93,53,60,56,98,71,52.68,54,34.0,42,0,4,4,3,22,2023,2,71.83333333333333,42.89333333333334,33.5,22.916666666666664,3
CSE_0105,2026-01-01 00:00:00+00:00,9.54,48,32,11,80,47,58,77.04,66,78.0,78,7,6,2,7,85,2019,0,46.0,77.68,54.5,60.08333333333333,7
CSE_0106,2026-01-01 00:00:00+00:00,6.25,2,35,60,33,17,51,73.32,98,60.0,84,15,8,3,0,42,2022,2,33.0,72.44,62.0,58.33333333333333,4
CSE_0107,2026-01-01 00:00:00+00:00,7.05,44,94,32,40,15,46,55.28,59,74.0,51,5,12,5,4,81,2018,4,45.166666666666664,60.093333333333334,70.0,61.666666666666664,8
CSE_0108,2026-01-01 00:00:00+00:00,8.78,13,13,44,92,54,6,76.52,57,36.0,100,15,12,0,0,39,2019,4,37.0,70.83999999999999,60.0,70.0,7
CSE_0109,2026-01-01 00:00:00+00:00,6.14,29,64,89,72,38,10,41.0,11,80.0,55,12,4,5,3,46,2018,4,50.333333333333336,58.666666666666664,61.5,50.916666666666664,8
CSE_0110,2026-01-01 00:00:00+00:00,5.38,67,79,91,12,67,60,58.76,87,100.0,75,1,10,2,7,40,2023,3,62.666666666666664,77.92,52.5,57.75,3
CSE_0111,2026-01-01 00:00:00+00:00,6.45,17,53,68,69,58,67,68.64,68,74.0,67,7,4,1,0,46,2024,0,55.333333333333336,69.88,28.0,28.0,2
CSE_0112,2026-01-01 00:00:00+00:00,5.81,61,51,7,5,88,24,37.0,83,60.0,8,5,3,1,1,19,2024,2,39.333333333333336,35.0,24.0,24.166666666666664,2
CSE_0113,2026-01-01 00:00:00+00:00,9.65,36,2,24,83,95,11,70.2,38,94.0,91,15,5,5,0,76,2018,4,41.833333333333336,85.06666666666666,62.5,49.583333333333336,8
CSE_0114,2026-01-01 00:00:00+00:00,9.04,24,98,90,51,61,25,81.28,12,22.0,22,6,1,5,6,64,2024,0,58.166666666666664,41.76,49.5,39.41666666666667,2
CSE_0115,2026-01-01 00:00:00+00:00,8.17,47,40,45,2,12,11,76.8,40,78.0,62,10,2,3,1,67,2020,0,26.166666666666668,72.26666666666667,39.5,32.916666666666664,6
CSE_0116,2026-01-01 00:00:00+00:00,9.36,64,5,86,80,80,42,34.92,56,92.0,60,0,0,5,0,23,2021,3,59.5,62.30666666666667,20.0,0.0,5
CSE_0117,2026-01-01 00:00:00+00:00,9.02,52,24,29,62,100,50,80.56,52,24.0,39,6,1,2,5,99,2024,2,52.833333333333336,47.85333333333333,35.0,35.66666666666667,2
CSE_0118,2026-01-01 00:00:00+00:00,5.93,78,12,46,48,5,36,34.2,11,56.0,43,2,1,5,5,35,2020,2,37.5,44.4,39.0,26.333333333333336,6
CSE_0119,2026-01-01 00:00:00+00:00,9.46,72,97,86,75,82,45,60.76,12,36.0,85,10,7,4,1,44,2023,4,76.16666666666667,60.586666666666666,56.0,47.5,3
CSE_0120,2026-01-01 00:00:00+00:00,7.7,14,7,48,46,76,52,54.08,73,66.0,23,11,7,2,0,1,2023,4,40.5,47.69333333333333,47.5,46.08333333333333,3
CSE_0121,2026-01-01 00:00:00+00:00,9.04,48,20,46,54,59,87,33.24,96,72.0,50,7,1,3,2,27,2018,0,52.333333333333336,51.74666666666667,33.5,26.75,8
CSE_0122,2026-01-01 00:00:00+00:00,9.48,87,97,83,63,89,79,94.0,56,44.0,57,5,12,4,4,25,2024,2,83.0,65.0,66.0,61.666666666666664,2
CSE_0123,2026-01-01 00:00:00+00:00,6.59,67,67,81,64,13,12,54.92,39,56.0,89,3,5,4,5,22,2024,2,50.666666666666664,66.64,47.0,40.333333333333336,2
CSE_0124,2026-01-01 00:00:00+00:00,5.55,11,24,17,80,94,88,58.64,79,42.0,93,10,4,1,2,78,2024,4,52.333333333333336,64.54666666666667,39.0,42.5,2
CSE_0125,2026-01-01 00:00:00+00:00,6.14,58,78,65,66,53,53,43.32,44,50.0,32,7,2,2,8,35,2022,1,62.166666666666664,41.77333333333333,47.0,52.166666666666664,4
CSE_0126,2026-01-01 00:00:00+00:00,7.14,36,67,67,89,3,56,92.68,34,32.0,15,8,4,4,4,90,2019,0,53.0,46.56,52.0,45.333333333333336,7
CSE_0127,2026-01-01 00:00:00+00:00,9.09,60,44,93,14,38,3,39.44,2,90.0,21,9,4,3,1,5,2021,2,42.0,50.14666666666667,42.5,36.416666666666664,5
CSE_0128,2026-01-01 00:00:00+00:00,9.3,100,59,32,99,71,74,51.88,4,20.0,56,1,4,1,5,34,2024,3,72.5,42.626666666666665,28.5,32.75,2
CSE_0129,2026-01-01 00:00:00+00:00,5.03,42,11,35,31,24,95,90.6,89,90.0,61,15,2,4,7,37,2019,3,39.666666666666664,80.53333333333333,68.5,67.08333333333334,7
CSE_0130,2026-01-01 00:00:00+00:00,7.55,69,31,81,95,76,48,37.16,10,66.0,81,14,2,2,5,34,2022,1,66.66666666666667,61.38666666666666,53.5,57.25,4
CSE_0131,2026-01-01 00:00:00+00:00,7.09,38,95,100,67,31,6,57.52,70,46.0,70,5,3,1,3,99,2023,4,56.166666666666664,57.84,29.0,31.666666666666664,3
CSE_0132,2026-01-01 00:00:00+00:00,6.11,55,91,18,17,58,10,84.6,55,78.0,89,4,6,2,5,73,2021,4,41.5,83.86666666666666,43.5,45.583333333333336,5
CSE_0133,2026-01-01 00:00:00+00:00,5.6,62,12,27,82,62,91,36.52,9,60.0,71,4,11,2,7,93,2020,4,56.0,55.84,61.0,67.66666666666666,6
CSE_0134,2026-01-01 00:00:00+00:00,6.69,45,30,39,42,37,53,80.88,33,60.0,69,9,11,2,7,52,2023,3,41.0,69.96,71.0,79.33333333333333,3
CSE_0135,2026-01-01 00:00:00+00:00,9.71,87,77,83,34,91,86,32.48,66,28.0,29,10,11,1,1,37,2023,4,76.33333333333333,29.826666666666664,54.0,59.16666666666666,3
CSE_0136,2026-01-01 00:00:00+00:00,6.62,10,19,96,77,52,44,83.76,71,52.0,22,2,1,4,7,92,2018,3,49.666666666666664,52.586666666666666,40.0,33.833333333333336,8
CSE_0137,2026-01-01 00:00:00+00:00,7.59,61,17,75,57,93,22,81.52,30,40.0,31,11,9,5,5,58,2022,1,54.166666666666664,50.839999999999996,77.0,70.66666666666666,4
CSE_0138,2026-01-01 00:00:00+00:00,8.52,76,92,14,32,66,27,49.72,74,22.0,85,7,3,0,1,42,2018,0,51.166666666666664,52.24,24.0,28.833333333333332,8
CSE_0139,2026-01-01 00:00:00+00:00,6.82,97,59,40,13,27,56,93.4,70,48.0,56,13,3,4,0,3,2018,2,48.666666666666664,65.8,49.5,39.083333333333336,8
CSE_0140,2026-01-01 00:00:00+00:00,9.86,24,62,38,33,2,25,49.84,65,28.0,8,7,0,1,5,4,2019,1,30.666666666666668,28.613333333333333,30.5,35.08333333333333,7
CSE_0141,2026-01-01 00:00:00+00:00,9.81,70,5,1,60,97,24,71.4,69,40.0,30,15,9,0,6,67,2023,3,42.833333333333336,47.13333333333333,67.5,83.75,3
CSE_0142,2026-01-01 00:00:00+00:00,6.26,51,31,62,3,79,53,71.68,40,28.0,70,11,7,0,4,99,2022,1,46.5,56.56,49.5,61.08333333333333,4
CSE_0143,2026-01-01 00:00:00+00:00,7.49,3,92,28,87,21,28,60.56,62,28.0,8,4,0,0,7,44,2018,2,43.166666666666664,32.18666666666667,25.5,35.583333333333336,8
CSE_0144,2026-01-01 00:00:00+00:00,6.5,58,42,73,58,95,82,34.92,31,36.0,12,7,7,5,8,79,2020,0,68.0,27.64,71.5,66.75,6
CSE_0145,2026-01-01 00:00:00+00:00,6.42,71,1,65,28,37,96,53.44,19,100.0,57,9,6,3,3,24,2021,2,49.666666666666664,70.14666666666666,52.5,49.75,5
CSE_0146,2026-01-01 00:00:00+00:00,5.18,19,59,50,82,71,35,36.0,56,20.0,2,14,8,1,6,77,2024,3,52.666666666666664,19.333333333333332,67.0,78.5,2
